town,name,address,phone,toilet
GALWAY COUNTY COUNCIL,WESTSIDE LIBRARY,SEAMUS QUIRKE ROAD,+353 (0) 91 520616,yes
GALWAY COUNTY COUNCIL,ROUNDSTONE PUBLIC LIBRARY,ROUNDSTONE TOWN HALL,+353 (0) 83 3959860,yes
GALWAY COUNTY COUNCIL,ATHENRY PUBLIC LIBRARY,SWAN GATE,+353 (0) 91 845592,yes
GALWAY COUNTY COUNCIL,WOODFORD PUBLIC LIBRARY,WOODFORD,+353 (0) 90 9749200,no
GALWAY COUNTY COUNCIL,Leabharlann Cill Rónáin,IONAD FIONTAIR CHOLM Ó HIARNÁIN,+353 (0) 99 20937,no
GALWAY COUNTY COUNCIL,TUAM LIBRARY,HIGH STREET,+353 (0) 93 24287,no
GALWAY COUNTY COUNCIL,LEENANE PUBLIC LIBRARY,LEENANE COMMUNITY HALL,+353 (0) 95 42920,no
GALWAY COUNTY COUNCIL,BALLYBANE PUBLIC LIBRARY,BALLYBANE NEIGHBOURHOOD VILLAGE,+353 (0) 91 380590,no
GALWAY COUNTY COUNCIL,HEADFORD PUBLIC LIBRARY,SAINT FARNANS HALL,+353 (0) 93 36406,yes
GALWAY COUNTY COUNCIL,EYRECOURT PUBLIC LIBRARY,CHURCH LANE,+353 (0) 90 9675056,yes
GALWAY COUNTY COUNCIL,PORTUMNA LIBRARY,CASTLE AVENUE,+353 90 9741261,no
GALWAY COUNTY COUNCIL,BALLYGAR LIBRARY,MARKET SQUARE,+353 (0) 90 6624919,no
GALWAY COUNTY COUNCIL,DUNMORE PUBLIC LIBRARY,HIGH STREET,+353 (0) 93 38923,no
GALWAY COUNTY COUNCIL,CLIFDEN PUBLIC LIBRARY,MARKET STREET,+353 (0) 95 21092,no
GALWAY COUNTY COUNCIL,Leabharlann An Spidéal,SPIDDAL WEST,+353 (0) 91 504028,yes
GALWAY COUNTY COUNCIL,BALLINASLOE PUBLIC LIBRARY,MCNEVIN AVENUE,+353 (0) 90 9643464,no
GALWAY COUNTY COUNCIL,MOYLOUGH PUBLIC LIBRARY,MOYLOUGH COMMUNITY CENTRE,+353 (0) 90 9679072,yes
GALWAY COUNTY COUNCIL,LOUGHREA PUBLIC LIBRARY,CHURCH STREET,+353 (0) 91 847220,yes
GALWAY COUNTY COUNCIL,ORANMORE PUBLIC LIBRARY,MAIN STREET,+353 (0) 91 792117,no
GALWAY COUNTY COUNCIL,Leabharlann An Cheathrú,CARRAROE SOUTH,+353 (0) 91 595733,no
GALWAY COUNTY COUNCIL,GORT PUBLIC LIBRARY,CHURCH ROAD,+353 (0) 91 631224,yes
GALWAY COUNTY COUNCIL,OUGHTERARD PUBLIC LIBRARY,THE COURTHOUSE,+353 (0) 91 557002,yes
GALWAY COUNTY COUNCIL,Glenamaddy Library,SAINT BRIGIDS HALL,+353 (0) 94 9659734,yes
GALWAY COUNTY COUNCIL,Inishbofin Library,INISHBOFIN COMMUNITY CENTRE,+353 (0) 95 45891,yes
GALWAY COUNTY COUNCIL,Leabharlann Inis Meáin,CARROWNTEMPLE,+353 (0) 99 73126,no
GALWAY COUNTY COUNCIL,Leabharlann Inis Oírr,COMHAR CAOMHAN TEORANTA,+353 (0) 99 75154,no
GALWAY COUNTY COUNCIL,Killimor Public Library,Main Street,+353 (0) 90 9676062,no
GALWAY COUNTY COUNCIL,Letterfrack Library,Furniture College,+353 (0) 91 742666,no
Galway County Council,Galway City Library,HYNES BUILDINGS,+353 (0) 91 561666,no
